timestamp,progressStatus,recordedAtTime,directionRef,journeyPatternRef,bearing,progressRate,vehicleRef,longitude,latitude
1580210161,,2020-01-28T06:16:18-05:00,0,MTA_B670127,49.94548,normalProgress,MTA NYCT_365,-73.979374,40.669511
1580210161,,2020-01-28T06:16:01-05:00,0,MTA_B670127,87.31387,normalProgress,MTA NYCT_466,-73.987172,40.694491
1580210161,,2020-01-28T06:15:51-05:00,1,MTA_B670134,267.58127,normalProgress,MTA NYCT_369,-73.987232,40.693692
1580210221,layover,2020-01-28T06:17:05-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580210221,,2020-01-28T06:16:53-05:00,1,MTA_B670134,267.58127,normalProgress,MTA NYCT_369,-73.987303,40.692006
1580210221,,2020-01-28T06:17:02-05:00,0,MTA_B670127,87.31387,normalProgress,MTA NYCT_466,-73.987104,40.695948
1580210221,,2020-01-28T06:17:18-05:00,0,MTA_B670127,50.175396,normalProgress,MTA NYCT_365,-73.977408,40.671859
1580210221,,2020-01-28T06:17:00-05:00,0,MTA_B670127,148.98294,normalProgress,MTA NYCT_367,-73.982673,40.655769
1580210282,layover,2020-01-28T06:18:07-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580210282,,2020-01-28T06:17:54-05:00,1,MTA_B670134,267.58127,normalProgress,MTA NYCT_369,-73.987313,40.691773
1580210282,,2020-01-28T06:18:01-05:00,0,MTA_B670127,149.13165,normalProgress,MTA NYCT_367,-73.985824,40.657656
1580210282,,2020-01-28T06:18:20-05:00,0,MTA_B670127,54.532166,normalProgress,MTA NYCT_365,-73.976134,40.673528
1580210282,,2020-01-28T06:18:03-05:00,0,MTA_B670127,85.91438,normalProgress,MTA NYCT_466,-73.986882,40.698891
1580210341,layover,2020-01-28T06:19:08-05:00,1,MTA_B670134,10.619656,noProgress,MTA NYCT_417,-73.967411,40.706971
1580210341,,2020-01-28T06:18:55-05:00,1,MTA_B670134,339.60278,normalProgress,MTA NYCT_369,-73.987584,40.690373
1580210341,,2020-01-28T06:19:20-05:00,0,MTA_B670127,55.97672,normalProgress,MTA NYCT_365,-73.974752,40.675499
1580210341,,2020-01-28T06:19:02-05:00,0,MTA_B670127,43.555874,normalProgress,MTA NYCT_367,-73.987959,40.659689
